strategy,base_strategy,regime_filtered,symbol,timeframe,sharpe,cagr,max_drawdown,win_rate,profit_factor,trade_count,total_return,gate1_pass,halted
alpha_composite,alpha_composite,False,ETH/USDT,1d,-1.1068,-0.1381,0.2001,0.3488,0.5,43,-0.1941,False,True
alpha_composite+regime,alpha_composite,True,ETH/USDT,1d,-0.7439,-0.1225,0.2033,0.35,0.51,40,-0.1974,False,True
alpha_trend_v2,alpha_trend_v2,False,ETH/USDT,1d,-1.121,-0.1383,0.2001,0.3696,0.51,46,-0.1944,False,True
alpha_trend_v2+regime,alpha_trend_v2,True,ETH/USDT,1d,-0.7502,-0.1227,0.2033,0.3721,0.53,43,-0.1977,False,True
alpha_momentum_v2,alpha_momentum_v2,False,ETH/USDT,1d,-2.5513,-0.3933,0.2086,0.2857,0.1,14,-0.2086,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,ETH/USDT,1d,-2.5513,-0.3933,0.2086,0.2857,0.1,14,-0.2086,False,True
ema_crossover,ema_crossover,False,GOOG,1d,0.5543,0.0138,0.0491,0.3846,2.16,26,0.0707,False,False
ema_crossover+regime,ema_crossover,True,GOOG,1d,0.7063,0.0176,0.0268,0.5333,4.36,15,0.0906,False,False
donchian_bo,donchian_bo,False,GOOG,1d,-0.5544,-0.0078,0.0484,0.3594,0.57,64,-0.0383,False,False
donchian_bo+regime,donchian_bo,True,GOOG,1d,-0.5725,-0.009,0.0579,0.3529,0.56,51,-0.0441,False,False
macd_momentum,macd_momentum,False,GOOG,1d,-0.0347,-0.0032,0.1357,0.4286,0.88,56,-0.0159,False,False
macd_momentum+regime,macd_momentum,True,GOOG,1d,-0.0463,-0.0075,0.1255,0.3659,0.96,41,-0.037,False,False
triple_screen,triple_screen,False,GOOG,1d,-1.8483,-0.1076,0.2051,0.4167,0.28,36,-0.1925,False,True
triple_screen+regime,triple_screen,True,GOOG,1d,0.536,0.0372,0.1297,0.6404,1.41,89,0.1998,False,False
atr_breakout,atr_breakout,False,GOOG,1d,0.5978,0.0517,0.1596,0.3077,1.67,65,0.2854,False,False
atr_breakout+regime,atr_breakout,True,GOOG,1d,0.7923,0.0642,0.085,0.3256,2.58,43,0.3631,False,False
momentum_long,momentum_long,False,GOOG,1d,0.3266,0.0266,0.1894,0.4444,2.76,9,0.1396,False,False
momentum_long+regime,momentum_long,True,GOOG,1d,0.3289,0.0364,0.2055,0.4286,1.36,7,0.1299,False,True
alpha_composite,alpha_composite,False,GOOG,1d,-0.436,-0.0443,0.2009,0.4421,0.86,95,-0.1613,False,True
alpha_composite+regime,alpha_composite,True,GOOG,1d,0.2235,0.0149,0.1437,0.4355,1.68,62,0.0764,False,False
alpha_trend_v2,alpha_trend_v2,False,GOOG,1d,-0.3989,-0.0449,0.2045,0.4513,0.82,113,-0.1634,False,True
alpha_trend_v2+regime,alpha_trend_v2,True,GOOG,1d,-0.3323,-0.0337,0.2036,0.4265,0.91,68,-0.1337,False,True
alpha_momentum_v2,alpha_momentum_v2,False,GOOG,1d,0.096,-0.0016,0.219,0.4762,0.73,42,-0.0025,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,GOOG,1d,-0.1766,-0.0348,0.2044,0.4444,0.83,54,-0.1287,False,True
ema_crossover,ema_crossover,False,MA,1d,-0.1257,-0.0022,0.0534,0.4167,0.83,24,-0.0109,False,False
ema_crossover+regime,ema_crossover,True,MA,1d,-0.7016,-0.0148,0.0729,0.3,0.89,20,-0.0718,False,False
donchian_bo,donchian_bo,False,MA,1d,-1.1167,-0.0062,0.0352,0.3103,0.42,58,-0.0304,False,False
